0;0;0;0;land;false;unknown;0
1;214;159;135;land;false;plains;1
2;166;133;254;land;false;plains;1
3;114;179;231;land;false;jungle;1
4;249;234;130;land;false;mountain;1
5;159;203;242;land;false;forest;1
6;252;73;220;land;false;forest;1
7;224;235;141;land;false;mountain;1
8;198;126;229;land;false;mountain;1
9;227;179;237;land;false;mountain;1
10;116;199;204;land;false;plains;1
11;223;188;180;land;false;plains;1
12;251;217;100;land;false;jungle;1
13;252;89;223;land;false;jungle;1
14;207;209;87;land;true;mountain;1
15;164;228;182;land;false;forest;1
16;156;224;138;land;false;desert;1
17;183;246;108;land;false;plains;1
18;219;180;122;land;false;jungle;1
19;77;233;214;land;false;plains;1
20;166;172;168;land;false;plains;1
21;167;187;187;land;false;forest;1
22;223;164;183;land;false;plains;1
23;138;174;210;land;false;forest;1
24;252;159;225;land;false;plains;1
25;166;146;254;land;false;plains;1
26;253;114;244;land;false;jungle;1
27;164;129;226;land;false;jungle;1
28;220;204;191;land;false;plains;1
29;218;85;254;land;false;plains;1
30;237;150;168;land;false;jungle;1
31;236;146;237;land;true;desert;1
32;216;191;220;land;false;jungle;1
33;233;113;229;land;false;forest;1
34;148;251;208;land;false;jungle;1
35;232;189;95;land;false;desert;1
36;178;249;232;land;false;forest;1
37;159;241;227;land;false;jungle;1
38;218;216;189;land;false;jungle;1
39;146;201;233;land;false;jungle;1
40;184;93;225;land;false;jungle;1
41;201;123;253;land;false;mountain;1
42;208;217;139;land;false;plains;1
43;217;226;232;land;false;jungle;1
44;42;246;233;land;true;mountain;1
45;219;221;158;land;false;jungle;1
46;230;250;64;land;false;mountain;1
47;182;213;217;land;true;plains;1
48;249;85;177;land;false;plains;1
49;167;186;227;land;false;mountain;1
50;90;213;223;land;false;plains;1
51;160;208;253;land;false;plains;1
52;239;71;250;land;false;plains;1
53;86;203;217;land;true;plains;1
54;222;230;206;land;false;jungle;1
55;239;246;222;land;false;mountain;1
56;238;87;239;land;false;jungle;1
57;250;170;202;land;false;mountain;1
58;172;249;185;land;false;plains;1
59;193;213;118;land;false;plains;1
60;154;145;241;land;false;jungle;1
61;155;190;238;land;false;jungle;1
62;127;250;161;land;false;forest;1
63;120;248;188;land;false;jungle;1
64;163;172;222;land;false;desert;1
65;250;72;205;land;false;plains;1
66;175;237;191;land;false;plains;1
67;248;100;193;land;false;forest;1
68;172;129;221;land;false;mountain;1
69;188;88;233;land;false;plains;1
70;192;109;251;land;false;forest;1
71;193;138;211;land;false;forest;1
72;203;211;202;land;false;plains;1
73;146;238;172;land;false;forest;1
74;250;227;53;land;false;mountain;1
75;215;251;118;land;false;jungle;1
76;165;210;161;land;false;forest;1
77;235;60;210;land;false;forest;1
78;202;184;152;land;false;forest;1
79;235;101;254;land;false;plains;1
80;101;223;198;land;false;plains;1
81;165;126;215;land;false;desert;1
